ARTICULO;DESCRIPCION;PROVEEDOR;NOMBRE;STOCK;IMPORTE
1OV;CRC 556 250ML MULTIUSO;1OV;MAFERGA, S.A.;6;3,55
1OY;CARTEL USO OBLIGAT. CASCO+GAFA;1OY;MAFERGA, S.A.;5;1,72
1OZ;ARNES SEGURIDAD CONJUNTO;1OZ;FERRETERIA PLAZA, S. L.;1;35,24
1OZ;ARNES SEGURIDAD CONJUNTO;1OZ;MAFERGA, S.A.;4;14,2
1P0;CABLE ARAFLEX 0.6/1KV 2x6 1MT;1P0;ORVILUX ELECTRICIDAD, S.L.;30;1,5
1P1;ATUN CL. OLIVA OL-120;1P1;SERVIAL,DISTRIBUCIONES EXCLUVAS SL;108;0,95
1P2;CUERDA P.E.NARANJA 2.5mm/200mt;1P2;PAMPILLON CORDELERIAS, S.L.;2;6,1
1P3;DESENGRASANTE PROADEX 10LT;1P3;FERRETERIA PLAZA, S. L.;2;71,6
1P4;FUENTE REDONDA 32CM;1P4;TEN HOME PLUS CORUXO S.L.;4;2,07
1P5;PANTALON FRIO T/L;1P5;MERPIVI COMERCIAL  S.L.;4;25,95
1P7;AGUA FONT VELLA 24/50CL;1P7;MERCASH SAR, S. L.;1;8,16
01P;FLEJE ADHES. MARRON 132x48 1R;01P;Fco.GONZALEZ & M.R.G. SL;37;0,64
1PA;VINO D.O.RUEDA BITAC. BCO 75CL;1PA;MERCASH SAR, S. L.;6;2,45
1PB;CABALLA 3PPK BLQ-ALLP-C/20KG;1PB;IMPORT-EXPORT PESCADOS JOSE LUIS SL;150;1,55
1PC;PINTURA GRIS PERLA 0.75LT;1PC;MORFISA S.L.;4;13,64
1PD;VINO RUEDA SIT.VERD. BCO 75CL;1PD;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;6;1,89
1PE;BRAZO CREMA/CHOCO 1.5KG;1PE;ELMAR FROZEN FOOD SLU;20;6,12
1PF;TARTA GALLETA C/N BLANCA;1PF;ELMAR FROZEN FOOD SLU;6;8,55
1PG;TARTA 3 CHOCOLATES 24RAC CONG.;1PG;ELMAR FROZEN FOOD SLU;2;8,55
1PH;GANCHO COSTADO GLV 2.0x18 C/G;1PH;JUMAR COMERCIAL-JUAN M.VICENTE GLEZ;6;43,2
1PI;LASA¥A PREC GALLO 300PLC 4,2KG;1PI;PONTEVICUS, S. L.;2;12,55
1PL;FIDEO YATEKOMO POLLO/SOJA 79GR;1PL;PONTEVICUS, S. L.;204;0,51
1PM;YEMAS ESPARRAGO 12/155GRS;1PM;CASH GALICIA, S. L.;36;1,22
1PN;CREMA CATALANA 840GRS .;1PN;CALDOS DEL NORTE, S.L.;6;2,28
1PO;ANIS GRANO 600GRS;1PO;PRODUCTOS JAUJA,S.A.;2;3,61
1PP;POTAS PLAST BICOLOR 30cm C/50;1PP;ENA-EFCT.NAVALES del ATLANTICO SL;24;40,5
1PQ;COCA-COLA S/CAFEINA BOT.2Lts;1PQ;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;24;1,13
1PS;BROTES DE SOJA 24/500GRS;1PS;SERVIAL,DISTRIBUCIONES EXCLUVAS SL;8;16,35
1PT;SOPA POLLO C/MARAVILLA 1/85GR;1PT;PONTEVICUS, S. L.;72;0,5
1PU;CHALECO INFL EVAL 150N;1PU;VIGO-COAST, S.L.;6;53,13
1PV;TERMO ELECTRICO 1500W 100LT;1PV;ORVILUX ELECTRICIDAD, S.L.;1;139
1PW;DESENGRASANTE GRASNON LITRO;1PW;JUMAR COMERCIAL-JUAN M.VICENTE GLEZ;50;2,77
1PX;GEL MECANIC GARRAFA 10KG;1PX;JUMAR COMERCIAL-JUAN M.VICENTE GLEZ;1;41,34
1PY;HIPOCLORITO SODICO POTABLE;1PY;JUMAR COMERCIAL-JUAN M.VICENTE GLEZ;2;28,12
1Q0;LIMPIADOR ELECTRICO LITRO;1Q0;JUMAR COMERCIAL-JUAN M.VICENTE GLEZ;25;5,45
1Q2;TITAN 514 VERDE HIERBA 1/750ml;1Q2;MORFISA S.L.;1;14,5
1Q3;TITAN 539 AZUL LUMINOSO 1/750m;1Q3;MORFISA S.L.;1;14,13
1Q4;TITAN OXIRON MARTELE 2900GRIS;1Q4;MORFISA S.L.;1;18,93
1Q7;GANCHO COSTADO GLV 3.5x16 C/Gr;1Q7;JUMAR COMERCIAL-JUAN M.VICENTE GLEZ;1;62,5
1Q8;LECHE DE COCO 400ML;1Q8;PONTEVICUS, S. L.;36;1,65
1Q9;SAL ESCAMAS 1500GR;1Q9;PONTEVICUS, S. L.;3;14,95
01Q;PERA EN ALMIBAR 1/3 Kg;01Q;SERVIAL,DISTRIBUCIONES EXCLUVAS SL;6;4,5
1QA;VINO RIOJA LAN CRZ TINTO 75CL;1QA;PONTEVICUS, S. L.;12;5,39
1QC;QUESO UNTAR CUBO 2KG;1QC;PONTEVICUS, S. L.;15;8,95
1QE;BANDERILLAS EN VINAGRE C/12;1QE;SERVIAL,DISTRIBUCIONES EXCLUVAS SL;3;9,6
1QF;PIMIENTA NEGRA GRANO 500GRS;1QF;PRODUCTOS JAUJA,S.A.;1;3,12
1QG;SALSA ALI-OLI 8/300GRS;1QG;PONTEVICUS, S. L.;11;10,08
1QH;MINAS GRAFITO 2MM PACK 3 MINAS;1QH;NEXO EQUIPAMIENTO MODULAR OFICINAS;3;0,37
1QI;TINTE CAPILAR LLONG. N§1 NEGRO;1QI;PONTEVICUS, S. L.;4;3,79
1QJ;PINZA DEPIL.RECTA CROM.7.2CM;1QJ;PONTEVICUS, S. L.;2;2,9
1QK;JABON MAGNO 2x125GR;1QK;PONTEVICUS, S. L.;5;1,63
1QL;MAQUIN.AFEIT. GILLET.BLUE 20UN;1QL;MERCASH SAR, S. L.;6;2,76
1QM;MANCUERNAS/PESAS 5KG;1QM;DECATHLON ESPA¥A S.A.U.;2;19,83
1QN;CUERDA P.E. GRIS 12mm/100mt;1QN;PAMPILLON CORDELERIAS, S.L.;8;3,65
1QO;CALCETIN-MEDIA FRIO GRUESO;1QO;MERPIVI COMERCIAL  S.L.;32;4,2
1QP;CHAQUETA SOFTSHELL AZUL T/S;1QP;FERNANDO ESCOLA, C.B.;1;18,13
1QQ;RI¥ONERA;1QQ;FERNANDO ESCOLA, C.B.;3;8,5
1QR;CANGURO AGUA FINO T/M;1QR;FERNANDO ESCOLA, C.B.;4;17,68
1QS;BUZO DE AGUA;1QS;FERNANDO ESCOLA, C.B.;4;49,4
1QU;ACEITUNA C/H 1/500GR;1QU;SERVIAL,DISTRIBUCIONES EXCLUVAS SL;58;0,65
1QV;CARAMELOS GOMINOLA CUBO 1.90K;1QV;MERCASH SAR, S. L.;9;7,32
1QW;AMBIENTADOR PISTOLA 1LT;1QW;DARLIM-DIST. ARTICULOS LIMPIEZA SL;5;2,62
1QX;BOLSA HERMETICA GRANDE 10UND;1QX;PONTEVICUS, S. L.;8;1,35
1QY;BOLSA CONGELACION ZIPLOC 12UND;1QY;PONTEVICUS, S. L.;12;1,55
1QZ;MENESTRA VERDURAS CONG. 2500GR;1QZ;ELMAR FROZEN FOOD SLU;4;1,07
1R2;PAVIMENTO CIRCULOS 3MM;1R2;EFECTOS NAVALES FERNANDEZ VILA, SL.;10;12,32
1R3;SE¥AL IMO SIGNS "DD""BF"15X15;1R3;VIGO-COAST, S.L.;5;2,21
1R4;ACEITUNA VDE.C/H PICANTE 6/550;1R4;PONTEVICUS, S. L.;4;16,5
1R5;JUDIAS VERDES ANCHAS 6/KG;1R5;SERVIAL,DISTRIBUCIONES EXCLUVAS SL;12;4,98
1R6;ACEITUNAS VERDES S/H 24/300GR;1R6;SERVIAL,DISTRIBUCIONES EXCLUVAS SL;2;13,68
1R7;LECHE DE COCO 6/400ML.;1R7;PONTEVICUS, S. L.;3;10,18
1R8;GALLETAS CAMPURR.CUETARA 6/500;1R8;MERCASH SAR, S. L.;10;16,98
1R8;GALLETAS CAMPURR.CUETARA 6/500;1R8;PONTEVICUS, S. L.;7;13,44
1R9;PASTA SOPA MARAVILLA/LLUVIA 5K;1R9;CASH GALICIA, S. L.;8;6,4
1R9;PASTA SOPA MARAVILLA/LLUVIA 5K;1R9;PONTEVICUS, S. L.;63;5,04
01R;GUANTES MAPA ULTRANI VERDE T/8;01R;MAPA SPONTEX IBERICA, S. A.;2820;1,21
1RB;SACARINA LIQUIDA;1RB;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;3;0,57
1RB;SACARINA LIQUIDA;1RB;PONTEVICUS, S. L.;1;0,76
1RD;TANZA 2.00 BLANCO/FLUOR.500MT.;1RD;CADILHE & SANTOS LDA;107;5,6
1RE;RATON TRACKBALL INALAMBRICO;1RE;AMAZON EU SARL SUCURSAL EN ESPA¥A;1;31,4
1RE;RATON TRACKBALL INALAMBRICO;1RE;HISPANOVA VIGO S.A;1;80,75
1RH;CACAHUETE C/CASCARA 1KG;1RH;MERCASH SAR, S. L.;15;3,29
1RI;NUEZ 1/500GR;1RI;MERCASH SAR, S. L.;23;3,58
1RI;NUEZ 1/500GR;1RI;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;4;3,59
1RI;NUEZ 1/500GR;1RI;PONTEVICUS, S. L.;13;2,6
1RJ;CALDO CARNE KG;1RJ;MERCASH SAR, S. L.;7;3,1
1RJ;CALDO CARNE KG;1RJ;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;5;5,35
1RK;PROTECTOR OIDOS 83000 BL;1RK;FERRETERIA PLAZA, S. L.;1;11,31
1RM;MENTA POLEO AGUA FRIA E/40GR;1RM;PONTEVICUS, S. L.;8;1,85
1RN;JUREL ENTERO 2/4 CONGELADO;1RN;IBERPORT-FRIGORIFICIOS IBERPORT SL;5;1,48
1RO;CONO HELADO LIMON P-4 260ML;1RO;MERCASH SAR, S. L.;15;0,97
1RS;FREIDORA PROF.2000W INOX 3.5LT;1RS;MAFERGA, S.A.;1;42,55
1RT;FIDEO YATEKOMO CURRY 1/61GR;1RT;MERCASH SAR, S. L.;34;0,91
1RT;FIDEO YATEKOMO CURRY 1/61GR;1RT;PONTEVICUS, S. L.;22;1,03
1RU;PISTACHOS SALADOS NOGAL 1/250G;1RU;PONTEVICUS, S. L.;24;4,24
1RV;MANZANILLA HORNIMANS C/100s;1RV;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;1;3,99
1RX;PALO FREGONA UNIVERSAL;1RX;DARLIM-DIST. ARTICULOS LIMPIEZA SL;3;3,63
1RZ;ANCHOAS AC.OLIVA ORTIZ 1/29GR.;1RZ;MERCASH SAR, S. L.;94;1,04
1S0;POTA ARRASTRE CAJA CARTON "N";1S0;NORES MARIN COMERCIAL, S. L.;29;2,3
1S0;POTA ARRASTRE CAJA CARTON "N";1S0;CONGELADOS SIALCO S.L.;782;2,85
1S1;CARAMELOS SUGUS KG.;1S1;MERCASH SAR, S. L.;5;6,13
1S2;CUBO TANK. 25LT.C/PRENSA;1S2;DARLIM-DIST. ARTICULOS LIMPIEZA SL;3;56,1
1S3;ZUMO DE UVA BRICK LT.;1S3;SERVIAL,DISTRIBUCIONES EXCLUVAS SL;24;0,65
1S4;RIOJA TINTO CAMPOVIEJO 1/75CL;1S4;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;12;3,19
1S5;TUBO PLASTICO AZUL 50CM;1S5;PASAXE Suministros Navales, S. L.;4;2,5
1S6;TACOS CONTENEDOR 4U  2izq/2der;1S6;PLASTIPON U.E. S.L.;2;15
1S7;CHOCOLATE C/LECHE MILKA 125GR;1S7;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;46;0,75
1SA;ACEITUNAS VERDES S/HUESO 300GR;1SA;SERVIAL,DISTRIBUCIONES EXCLUVAS SL;54;0,67
1SB;COCTEL MIX 3.5KG;1SB;MERCASH SAR, S. L.;2;15,27
1SC;TARTA SACHER 1/875GR;1SC;COM. REYVI DE PANAD. Y PASTEL.,S.L.;5;15,24
1SE;GIRATORIO C/PLOMO 80gr C/100U;1SE;PASAXE Suministros Navales, S. L.;10;60
1SF;MANGO METALICO;1SF;FERRETERIA PLAZA, S. L.;4;3,57
1SG;MONDADOR M/POLIPROPILENO;1SG;MAFERGA, S.A.;14;1,6
1SH;EMBUDO PLASTICO 19CM;1SH;MAFERGA, S.A.;1;0,95
1SI;CUCHARON SPAGUETTI LACOR;1SI;MAFERGA, S.A.;1;2,2
1SL;CARTUCHO IMPRESORA 305XL NEGRO;1SL;CARLIN VENEZUELA S.L.;1;18,1
1SL;CARTUCHO IMPRESORA 305XL NEGRO;1SL;NEXO EQUIPAMIENTO MODULAR OFICINAS;1;17,85
1SO;CAJA CARTON 450x250x250;1SO;EMBARBOX - EMBALAJES ARMANDO, S. L.;60;1,24
1SP;GANCHO COSTADO GLV 3.0x18 C/Gr;1SP;JUMAR COMERCIAL-JUAN M.VICENTE GLEZ;4;48,5
1SQ;AJO PELADO TARRINA;1SQ;FRUTAS SOL VIGO S.L.U.;5;4
1SR;CASCO CLIMBER SAFETOP;1SR;COSTA OESTE DEL ATLANTICO S.L.;15;23,9
1ST;GARRAFA DE 50 LITROS;1ST;JUMAR COMERCIAL-JUAN M.VICENTE GLEZ;1;35,1
1SU;AGUA CABREIROA C/GAS 6/1.5LTS;1SU;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;9;2,58
1SV;ZUMO MANGO D.SIMON 1/LITRO;1SV;PONTEVICUS, S. L.;24;0,9
1SW;CHAMPU FAMILIAR LT.;1SW;PONTEVICUS, S. L.;54;0,78
1SX;ARENA SILICE GRUESA 25KG;1SX;INDUSTRIAS PROA S.A.;1;12,17
1SY;PASTA DENTIFRICA 100ML.;1SY;PONTEVICUS, S. L.;9;0,75
1T0;VINO MOSCATEL PAPA NOEL 1/75CL;1T0;MERCASH SAR, S. L.;3;2,21
1T2;FLEXOMETRO-CINTA METRICA 3mt;1T2;MAFERGA, S.A.;2;1,6
1T3;CADENA INOX 4MM/MT;1T3;SUNAFER-SUMINIST.NAV. FERNANDEZ SL;16;3,64
1T4;CORAZON TERNERA;1T4;CHOLO CARNICAS, S. L.;3;2
1T6;MACARRON 4/6 TRANSPART 1/100MT;1T6;NEO GROUP INTEC SL;61;13,5
1T7;GANCHO COSTADO GLV.2.0X18 C/Gr;1T7;JUMAR COMERCIAL-JUAN M.VICENTE GLEZ;2;43,2
1T8;OVILLO HILO RAFIA BLANCO KILO;1T8;PAMPILLON CORDELERIAS, S.L.;100;1,7
01T;GUANTES MAPA INDUSTRIAL T/9;01T;SELA SAFETY S.L.;40;1,18
1TA;SERVILLETAS PAPEL 20X200Und.;1TA;PONTEVICUS, S. L.;4;14,6
1TB;CARAMELO LIQUIDO 300GR;1TB;PONTEVICUS, S. L.;12;1,25
1TD;QUESO FUNDIDO PORCION 1/375GR;1TD;MERCASH SAR, S. L.;20;1,22
1TD;QUESO FUNDIDO PORCION 1/375GR;1TD;PONTEVICUS, S. L.;32;1,1
1TE;MOUSSE FRESA 600GR.;1TE;MERCASH SAR, S. L.;20;4,74
1TF;PLANCHA SAN MARCOS 30 Raciones;1TF;PANAMAR BAKERY GROUP S. L.;24;9,45
1TH;CHAQUETON FRIO DELTA PLUS;1TH;MERPIVI COMERCIAL  S.L.;2;38
1TI;CHAQUETON AGUA FINO ROJO T/56;1TI;PRENDAMAR Industrias;2;16,06
1TJ;PANTALON AGUA ROJO FINO T/56;1TJ;PRENDAMAR Industrias;2;17,14
1TP;LAVAVAJILLAS MISTOL 1/650ml.;1TP;PONTEVICUS, S. L.;1;0,88
1TQ;CORUJO 300/500 CONGELADO;1TQ;PEREIRA HOSTELERIA S. A.;12;6,15
1TR;CAVA FREIXENET BRUT 1/75CL;1TR;MERCASH SAR, S. L.;9;3,99
1TU;CAFE BONKA RISTRETO D.GUSTO 16;1TU;MERCASH SAR, S. L.;3;3,25
1TV;RED BULL SUGAR FREE 24/25CL.;1TV;MERCASH SAR, S. L.;2;22,56
1TW;BUEY COCIDO 600/800 CONG. KILO;1TW;ELMAR FROZEN FOOD SLU;9;8,44
1TX;TE MARRAKESH NESCAFE D.GUSTO;1TX;CARREFOUR VIGO;3;4,14
1TY;CAFETERA KRUP MIN ME;1TY;CARREFOUR VIGO;1;65,65
1TZ;NESC.D.GUSTO C/LECHE DELICATO;1TZ;MERCASH SAR, S. L.;16;4,25
1U0;NESC.D.GUSTO GRANDE INTENSO;1U0;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;3;3,49
1U1;CINTA CARROCERO PINTR 25mm/50m;1U1;MAFERGA, S.A.;5;1,35
1U2;COLORANTE AZUL POTE 30/8SOB.;1U2;MERCASH SAR, S. L.;30;0,34
1U4;CEPILLO SOLDADOR C/MANGO 3H;1U4;MAFERGA, S.A.;5;0,96
1U6;BACALAO LOMOS CONGELADO;1U6;PEREIRA PRODUCTOS DEL MAR, S. A.;1;6,92
1U6;BACALAO LOMOS CONGELADO;1U6;JOSE ANTONIO MUÑIZ ESTEVEZ;2;12,23
1UB;BESUGO ENTERO CONGELADO;1UB;ELMAR FROZEN FOOD SLU;9;3,2
1UD;PINGERS-ACOUSTIC PINGER V2.3;1UD;TECNOLOGIA MARINA XIMO SL - MAREXI;144;60,72
1UE;AGUA FONT VELLA MANZANA 1.25LT;1UE;CARREFOUR VIGO;24;1,02
1UF;POSTRE CREMOSO NATA KG.;1UF;CALDOS DEL NORTE, S.L.;30;2,56
1UG;BOLSA CAMISETA 50X60/100UND.;1UG;IRAGO, EXCLUSIVAS Y DISTRIBUC. S.A.;3;10,79
1UI;FUNDA RAFIA TUBULAR 45cm;1UI;IBERSACO, S. A.;40;2,93
1UJ;PASTA ORIENT.POLLO MAGGI 10/71;1UJ;MERCASH SAR, S. L.;1;6
1UK;VINO MONAGUILLO MENCIA;1UK;TOMAS FERNANDEZ,S.L.-DISTRIBUCIONES;75;5,85
1UM;SALCHICHAS FRANK.LATA 420GR.;1UM;DIMERCA-DISTRIB. MERA Y CARMES S.L.;240;1,12
1UN;CUERDA P.E. GRIS 12mm/100mt;1UN;PAMPILLON CORDELERIAS, S.L.;6;3,65
1UO;CUERDA P.E. GRIS 10mm/100mt.;1UO;PAMPILLON CORDELERIAS, S.L.;9;3,65
1UQ;PINTURA ANTIDESLIZANTE 4LT.;1UQ;INDUSTRIAS PROA S.A.;3;37,68
1UR;DESENGRASANTE PROADYX 5LT;1UR;INDUSTRIAS PROA S.A.;4;14,24
1UW;PI¥A DEL MONTE LATA 510GR;1UW;MERCASH SAR, S. L.;5;3,57
1UX;NUEZ 500GR.;1UX;MERCASH SAR, S. L.;6;4,43
1V0;CACAHUETE CASC.TOST. S/SAL 3KG;1V0;PONTEVICUS, S. L.;2;6,9
1V1;ACEITUNA C/H 1/300GR;1V1;SERVIAL,DISTRIBUCIONES EXCLUVAS SL;24;0,65
1V2;BOLSA HIELOS UND.;1V2;PONTEVICUS, S. L.;5;0,8
1V3;PANTALLA CASCO LS2 TRANSPARENT;1V3;ANCA S.L.;1;16,38
1V4;RON HAVANA CLUB DORADO 7Y.70CL;1V4;CASH GALICIA, S. L.;6;15,85
1V6;QUESO RALLADO 4 QUESOS 130GR;1V6;MERCASH SAR, S. L.;180;1,52
1V9;MASILLA POLIFLEX GRIS;1V9;FERRETERIA PLAZA, S. L.;1;4,04
01V;MACARRON 3/5 TRANSPARENTE 200M;01V;NEO GROUP INTEC SL;10;17,1
1VB;AGUA FUERTE 1.5LT.;1VB;MARAVI COMERCIAL-ANA SUAREZ VAQUEZ;174;0,72
1VD;NESC.DOLCE G.ESPRE.BONKA 16UND;1VD;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;4;3,55
1VE;NESC.DOLCE G.ESP.INTEN.DESF.16;1VE;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;6;3,55
1VF;CARGADOR GILLETTE G-II Und.;1VF;PONTEVICUS, S. L.;2;4,67
1VG;SOPA COCIDO GALL.BCA 1/72GR;1VG;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;20;0,49
1VG;SOPA COCIDO GALL.BCA 1/72GR;1VG;PONTEVICUS, S. L.;60;0,53
1VH;PREPAR SALSA CHIMICHURRI 25GR;1VH;PONTEVICUS, S. L.;20;0,87
1VJ;MANZANILLA C/ANIS C/25sobres;1VJ;MERCASH SAR, S. L.;12;1,29
1VK;SALSA ALIOLI 1/300GR.;1VK;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;6;1,27
1VM;ESCALOPE DE MUSLO POLLO CONG.;1VM;LAGO, AVES, HUEVOS Y CAZA, S. A.;9;4,11
1VN;NABIZAS;1VN;FRUTAS SOL VIGO S.L.U.;8;0,85
1VO;MASA FILO 1/250GR;1VO;MERCASH SAR, S. L.;3;1,53
1VP;CREMA KNORR BOGAVANTE 61GR;1VP;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;46;1,15
1VR;COSTILLA TERNERA ASADO CONG.;1VR;CHOLO CARNICAS, S. L.;8;5,05
1VS;TANZA 3.6 NEUTRA ENA 10M;1VS;ENA-EFCT.NAVALES del ATLANTICO SL;1;5,99
1VT;FIDEO YATEKOMO ORIENTAL 1/61GR;1VT;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;22;0,95
1VT;FIDEO YATEKOMO ORIENTAL 1/61GR;1VT;PONTEVICUS, S. L.;18;1,18
1VW;MAHONESA TOP FRASCO 1/300ml;1VW;MERCASH SAR, S. L.;32;1,1
1VW;MAHONESA TOP FRASCO 1/300ml;1VW;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;38;1,05
1VW;MAHONESA TOP FRASCO 1/300ml;1VW;PONTEVICUS, S. L.;118;1,1
1VX;AGUA CABREIROA C/GAS 6XLT.;1VX;MERCASH SAR, S. L.;5;4,56
1W1;ARROZ BOMBA KILO;1W1;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;40;2,2
1w2;BOTA PUROFORT DUNLOP VERDE T42;1w2;SELA SAFETY S.L.;1;54,63
1W3;BRANDY DECANO 70CL;1W3;MERCASH SAR, S. L.;3;4,55
1W4;ZANAHORIA RALLADA 1.550KG;1W4;PONTEVICUS, S. L.;96;2,15
1w5;COLCHON ESPUMA 60X195;1w5;COLCHONERIA MARCO, S. L.;1;41
1W7;DESODORANTE SANEX ROLL-ON;1W7;MERCASH SAR, S. L.;9;1,22
1W8;AGUA PERRIER C/GAS 6/1000ml;1W8;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;3;4,8
1W9;CERVEZA HOLANDESA EMBRAU 12/33;1W9;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;23;2,7
01W;GRAPA ALUMINIO 4.2x18 C/500und;01W;PASAXE Suministros Navales, S. L.;4;13,25
1WC;CAJA PLAST. C/R+T 59x40x35cm;1WC;TEN HOME PLUS CORUXO S.L.;10;7,49
1WD;PASTA MECANICO LAVAMANOS 1KG;1WD;SUNAFER-SUMINIST.NAV. FERNANDEZ SL;8;4,49
1WE;CAPSULA RISTRETTO DECA 10CPS;1WE;DIST.AUTOMATICA BEBIDAS Y ALIMENTOS;14;4,09
1WF;DACTILES KILO;1WF;FRUTAS SOL VIGO S.L.U.;2;6,75
1WG;BOL ACERO ESMALTADO 16CM;1WG;MAFERGA, S.A.;6;4,89
1WH;GUANTES NEGRO NEOP TECHNIC T/8;1WH;SELA SAFETY S.L.;69;2,05
1WI;DETERGENTE KEL BOLSA  1/500G;1WI;DARLIM-DIST. ARTICULOS LIMPIEZA SL;56;0,97
1WJ;TANZA 3.6 AZUL FILKELME 5M;1WJ;A POUTADA, S. L.;2;6,18
1WM;ESPINACAS FCO. 1/425gr;1WM;MERCASH SAR, S. L.;24;0,81
1WN;POTA CHOCOLATE 30cm C/10 Und;1WN;MIRALLES REPRESENTACIONES SL;300;9,33
1WQ;TAPON OIDO BILSOM 303L C/200ud;1WQ;PROTECCION LABORAL VILLALBA S.L.;1;26,95
1WR;CAJA METAL BAHCO 690x360x310;1WR;JUMAR COMERCIAL-JUAN M.VICENTE GLEZ;1;101,48
1WS;JARRAS CRISTAL;1WS;MERCASH SAR, S. L.;6;1,49
1WT;PASAMONTA¥AS SIN VISERA;1WT;FERNANDO ESCOLA, C.B.;16;2,61
1WV;JUREL ENTERO IQF C/7KG.;1WV;ELMAR FROZEN FOOD SLU;8;1,46
1WW;CUERDA NYLON CORRED. 14mm/40mt;1WW;PAMPILLON CORDELERIAS, S.L.;1;5,25
1WX;CUERDA P.E.GRIS 6mm/100mt;1WX;PAMPILLON CORDELERIAS, S.L.;11;3,65
1WY;OLLA INOX 36 LACOR 36.60 LT.;1WY;MAFERGA, S.A.;2;71,66
1WZ;TOMATE FRITO LATA 1/500GR.;1WZ;SERVIAL,DISTRIBUCIONES EXCLUVAS SL;2;0,58
1X2;RIOJA M.CACERES ROSADO 6/75;1X2;MERCASH SAR, S. L.;1;19,8
1X3;VINO TINTO D.JUSTO BRIK 1/LT;1X3;MERCASH SAR, S. L.;6;0,64
1X4;RIOJA CECIOS CR.16 TINTO 6/75;1X4;MERCASH SAR, S. L.;1;16,14
1X6;JAMON IBERICO 100% BELLOTA-5J;1X6;MERCASH SAR, S. L.;1;65
1X7;CANELONES EL PAVO 18PAQ./125GR;1X7;PONTEVICUS, S. L.;40;1,06
01X;PANTALON BORREGUITO TEJANO XXL;01X;FERNANDO ESCOLA, C.B.;3;28,3
1XD;FILETE BACALAO 500/1000 CONG;1XD;ELMAR FROZEN FOOD SLU;32;6,11
1XG;GRASA REMBRANDT 18KG.;1XG;SUMINISTROS PORRI¥O S.L.U.;1;104,54
1XI;GATO DE BOTELLA 4T HIDRAULICO;1XI;SUMINISTROS PORRI¥O S.L.U.;2;43,56
1XJ;GRAPA NIQUEL 1.5x16x0.8 C/1000;1XJ;ENTREPOT NAVAL, S. L.;3;36,03
1XK;AURICULAR MOVIL;1XK;NEXO EQUIPAMIENTO MODULAR OFICINAS;3;6,54
1XL;AURICULAR ORDENADOR;1XL;NEXO EQUIPAMIENTO MODULAR OFICINAS;2;39,13
1XM;CREMA NIVEA SOFT 300ML;1XM;MERCASH SAR, S. L.;1;2,59
1XO;CUERDA POLYSTEEL 30mm/200mt;1XO;PAMPILLON CORDELERIAS, S.L.;84;3,56
1XV;FANTA NARANJA BOTELLA 500ML;1XV;MERCASH SAR, S. L.;48;0,92
1XY;MEMBRANA OSMOSISI INV. SW2540;1XY;JUMAR COMERCIAL-JUAN M.VICENTE GLEZ;3;179,55
1Y0;FILTROS DE CAFE 40UD;1Y0;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;2;0,55
1Y2;BOLSA BASURA 70x75 50LT R/15ud;1Y2;PONTEVICUS, S. L.;7;1,16
1Y3;SALSA PIZZA 1/3KG;1Y3;MERCASH SAR, S. L.;3;3,49
1Y4;JABON DOVE PASTILLA;1Y4;MERCASH SAR, S. L.;10;0,66
1Y5;DESODORANTE NIVEA SPRAY 200ML.;1Y5;PONTEVICUS, S. L.;12;1,75
1Y6;DESODORANTE REXONA SPRAY 200ML;1Y6;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;4;1,69
01Y;FLEJE ADHES.AZUL C/36R;01Y;PASAXE Suministros Navales, S. L.;6;54
01Y;FLEJE ADHES.AZUL C/36R;01Y;Fco.GONZALEZ & M.R.G. SL;4;42,48
1YA;BANDERA DE GALICIA;1YA;VIGO-COAST, S.L.;1;10,83
1YB;SAL EN ESCAMAS 600GR.;1YB;PONTEVICUS, S. L.;4;8,25
1YC;POTA BICOLOR 30CM. C/10Und.;1YC;MIRALLES REPRESENTACIONES SL;30;9,06
1YE;PIMENTON DULCE LATA 500gr;1YE;DISTRIBUCIONES LORRI C.B.;1;4
1YF;PEREJIL HOJA 1/90GR.;1YF;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;12;1,55
