ARTICULO;DESCRIPCION;PROVEEDOR;NOMBRE;STOCK;IMPORTE
BE1;NATA LIQUIDA BRIK 1/500ML;BE1;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;18;1,67
BE1;NATA LIQUIDA BRIK 1/500ML;BE1;PONTEVICUS, S. L.;69;1,75
BE1;NATA LIQUIDA BRIK 1/500ML;BE1;MAPA SPONTEX IBERICA, S. A.;12;1,75
BE2;CARNE PICADA MEZCLA CONGELADA;BE2;CHOLO CARNICAS, S. L.;56;3,71
BE2;CARNE PICADA MEZCLA CONGELADA;BE2;VENDISFRIG, S.L.;6;3,71
BE2;CARNE PICADA MEZCLA CONGELADA;BE2;V.R.FABRICA DE EMBUTIDOS S.L.;14.7;4,62
BE2;CARNE PICADA MEZCLA CONGELADA;BE2;PORTALCONSA S.L.U.;1;4,65
BE4;ATUN CORTIZO RO-550;BE4;VARIOS;40;2,99
BE5;PLATO PULPO PINO 4R 24CM;BE5;MERCASH SAR, S. L.;18;1,09
BE5;PLATO PULPO PINO 4R 24CM;BE5;PONTEVICUS, S. L.;20;2,1
BE6;LECHE ENTERA 6/1.5L;BE6;MERCASH SAR, S. L.;93;5,76
BE7;CRUJICONO PK4;BE7;BECOGALIA AFINES S.L.(LOPEZ FREIRE);10;10,16
bf1;BOTAS ISOTERMIC.DUNLOP T.39/40;bf1;ENTREPOT NAVAL, S. L.;1;51
BF3;TECLADO ORDENADOR;BF3;MEDIA MARKT VIGO;2;22,17
BF4;MANZANILLA C/100 Sobres;BF4;MERCASH SAR, S. L.;39;6,34
BF4;MANZANILLA C/100 Sobres;BF4;PONTEVICUS, S. L.;59;1,45
BF4;MANZANILLA C/100 Sobres;BF4;DISTRIBUCIONES LORRI C.B.;4;2,03
BF4;MANZANILLA C/100 Sobres;BF4;VARIOS;5;1,99
BG1;HILO NYLON BLANCO 4.00mm/200mt;BG1;PAMPILLON CORDELERIAS, S.L.;3;5,25
BG2;ZUMO MELOCOTON 3X200ML C/10Und;BG2;CASH GALICIA, S. L.;2;2,2
BG2;ZUMO MELOCOTON 3X200ML C/10Und;BG2;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;8;2,53
BG3;YOGURT LARSA SABORES 10/125ML;BG3;CASH GALICIA, S. L.;3;2,2
BG3;YOGURT LARSA SABORES 10/125ML;BG3;MERCASH SAR, S. L.;7;2,36
BG3;YOGURT LARSA SABORES 10/125ML;BG3;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;14;2,43
BG3;YOGURT LARSA SABORES 10/125ML;BG3;PONTEVICUS, S. L.;2;2,3
BG5;EMPANADA CARNE KILO;BG5;PANADERIA CONFITERIA LAVANDEIRA S L;17.6;6,5
BG5;EMPANADA CARNE KILO;BG5;"TUYPAN" PANADERIA TRADICIONAL;26;10,02
BG6;EMPANADA BACALAO KG;BG6;PANADERIA CONFITERIA LAVANDEIRA S L;13.35;6,5
BG6;EMPANADA BACALAO KG;BG6;"TUYPAN" PANADERIA TRADICIONAL;1;8,5
BG7;PAR MANOPLA COCINA;BG7;TIENDATIENDA S.L.;2;1,64
BG7;PAR MANOPLA COCINA;BG7;FERRETERIA PLAZA, S. L.;2;0
BG7;PAR MANOPLA COCINA;BG7;FERNANDO ESCOLA, C.B.;2;5,84
BG7;PAR MANOPLA COCINA;BG7;ENTREPOT NAVAL, S. L.;9;2,3
BG8;PALITOS CANGREJO 1/240grs;BG8;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;5;0,79
BG8;PALITOS CANGREJO 1/240grs;BG8;PESCAPUERTA, S. A.;2;26
BG8;PALITOS CANGREJO 1/240grs;BG8;PEREIRA HOSTELERIA S. A.;20;0,63
BG8;PALITOS CANGREJO 1/240grs;BG8;ELMAR FROZEN FOOD SLU;235;0,64
BG9;QUESO UNTAR TARRINA 1/250grs;BG9;MERCASH SAR, S. L.;36;0,82
BG9;QUESO UNTAR TARRINA 1/250grs;BG9;PONTEVICUS, S. L.;114;0,76
BG9;QUESO UNTAR TARRINA 1/250grs;BG9;MAPA SPONTEX IBERICA, S. A.;8;0,75
bh1;CHALECO AZUL MULTIUSOS;bh1;FERNANDO ESCOLA, C.B.;2;13,5
bh1;CHALECO AZUL MULTIUSOS;bh1;COSTA OESTE DEL ATLANTICO S.L.;8;16,2
bh2;PASTECA INOX N.1 DOBLE S/AR+RO;bh2;PASAXE Suministros Navales, S. L.;4;120
bh3;MUELA GRAPADORA;bh3;JUMAR COMERCIAL-JUAN M.VICENTE GLEZ;7;34,46
bh3;MUELA GRAPADORA;bh3;ENTREPOT NAVAL, S. L.;6;25,2
bh4;PALETINA RADIADOR 21;bh4;ENTREPOT NAVAL, S. L.;48;0,79
bh4;PALETINA RADIADOR 21;bh4;VARIOS;10;0,76
bh6;PINCEL REDONDO 12;bh6;ENTREPOT NAVAL, S. L.;3;0,26
bh9;PINTURA NEGRA 5KG;bh9;DITEGA-DIST.ALTA TEG. GALICIA S.L.;1;59,33
BI1;MASA HOJALDRE 1/500grs;BI1;MERCASH SAR, S. L.;300;1,1
BI1;MASA HOJALDRE 1/500grs;BI1;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;2;2,69
BI1;MASA HOJALDRE 1/500grs;BI1;PONTEVICUS, S. L.;26;1,29
BI1;MASA HOJALDRE 1/500grs;BI1;FANDICOSTA, S. A.;214;1,17
BI1;MASA HOJALDRE 1/500grs;BI1;BONFRIG FDC ULTRACONGELADOS S.A.;108;1,2
BI1;MASA HOJALDRE 1/500grs;BI1;ELMAR FROZEN FOOD SLU;172;1,88
BI6;TRAJE FRIO BORREGUITO TEJANO;BI6;FERNANDO ESCOLA, C.B.;46;47,2
BI7;PALETINA TRIPLE ECONOMICA 9;BI7;FERRETERIA PLAZA, S. L.;6;0,35
BI8;LASA¥A PRECOCINADA 1/200grs;BI8;MERCASH SAR, S. L.;90;1,04
BI8;LASA¥A PRECOCINADA 1/200grs;BI8;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;100;0,99
BI8;LASA¥A PRECOCINADA 1/200grs;BI8;PONTEVICUS, S. L.;18;1,31
BI9;COLA CAO ORIGINAL MALETA 5KG;BI9;MERCASH SAR, S. L.;1;18,5
BJ1;QUESO GOUDA BARRA;BJ1;PONTEVICUS, S. L.;34.02;4,52
BJ1;QUESO GOUDA BARRA;BJ1;V.R.FABRICA DE EMBUTIDOS S.L.;27;4,23
BJ2;CIRUELAS;BJ2;FRUTAS NIEVES, S.L.;7.8;1,35
BJ2;CIRUELAS;BJ2;FRUTAS SOL VIGO S.L.U.;1;1,9
BJ3;HAMBURGUESA MIXTA FRESCA;BJ3;CHOLO CARNICAS, S. L.;6;3,4
BJ3;HAMBURGUESA MIXTA FRESCA;BJ3;MERCASH SAR, S. L.;2;4,5
BJ3;HAMBURGUESA MIXTA FRESCA;BJ3;V.R.FABRICA DE EMBUTIDOS S.L.;16;5,32
BJ4;ALMOHADA FIBRA CONFORT 70;BJ4;COLCHONERIA MARCO, S. L.;33;3,67
BJ5;POTA CHOCOLATE 30cm C/20und;BJ5;MIRALLES REPRESENTACIONES SL;10;18,58
BJ5;POTA CHOCOLATE 30cm C/20und;BJ5;ENTREPOT NAVAL, S. L.;195;18,6
BJ6;POTA LUMINOSA 30cm C/20und;BJ6;ENTREPOT NAVAL, S. L.;232;29
BJ7;DESENGRASANTE  5LT;BJ7;MERCASH SAR, S. L.;2;6,99
BJ7;DESENGRASANTE  5LT;BJ7;EFECTOS NAVALES FERNANDEZ VILA, SL.;2;85,71
BJ7;DESENGRASANTE  5LT;BJ7;MARAVI COMERCIAL-ANA SUAREZ VAQUEZ;2;5,25
BJ8;MATACUCARACHAS FRASCO 400ml;BJ8;PONTEVICUS, S. L.;12;1,64
BJ9;ZUMO LIMON BOTELLIN 1/280ml;BJ9;PONTEVICUS, S. L.;29;1,2
BK2;DESATASCADOR LIQUIDO 750ML;BK2;FERRETERIA PLAZA, S. L.;4;5,97
BK7;GRAPA ALUMINIO 2.8X18 C/500und;BK7;E.N. LATITUD S.L.;56;12,29
BK7;GRAPA ALUMINIO 2.8X18 C/500und;BK7;A POUTADA, S. L.;70;9,62
BK8;ANZUELO 10/0 R-REVERSE C/50Und;BK8;VARIOS;16;26,5
BK9;MOSQUETON 2.6X100+SBL/L C/100;BK9;ENA-EFCT.NAVALES del ATLANTICO SL;19;49,9
BK9;MOSQUETON 2.6X100+SBL/L C/100;BK9;PONTEVICUS, S. L.;1;9
BL1;CUCHILLO ARCOS Ref/292823;BL1;EFECTOS NAVALES FERNANDEZ VILA, SL.;2;11,25
BL1;CUCHILLO ARCOS Ref/292823;BL1;FERNANDEZ Y COMESAÑA, S. L.;2;10,6
BL2;BARRA GALLEGA "CMA" 22/270g;BL2;NOROESMAR, S. A.;2;15,41
BL3;ACEITUNA R/ANCHOAS 1/350gr;BL3;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;61;0,63
BL3;ACEITUNA R/ANCHOAS 1/350gr;BL3;PONTEVICUS, S. L.;15;1,46
BL4;NOCILLA CHOCO BOTE 650gr;BL4;PONTEVICUS, S. L.;210;3,71
BL5;ATUN AC/VEGETAL OL-240 LATAS;BL5;SERVIAL,DISTRIBUCIONES EXCLUVAS SL;344;1,37
BL5;ATUN AC/VEGETAL OL-240 LATAS;BL5;VARIOS;6;0
BL6;QUESO RALLADO/POLVO 1/100gr;BL6;MERCASH SAR, S. L.;3;0,73
BL6;QUESO RALLADO/POLVO 1/100gr;BL6;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;29;0,61
BL7;GRAPA NIQUEL DBL 1.6x12 C/1000;BL7;E.N. LATITUD S.L.;20;43,94
BL7;GRAPA NIQUEL DBL 1.6x12 C/1000;BL7;VARIOS;12;25
BL8;FLEJE ADHES.MIEL 132x48 C/6R;BL8;EMBALPACK 2005, S.L.;598;1,12
BL8;FLEJE ADHES.MIEL 132x48 C/6R;BL8;TECNOPACKING, S.L.;2148;0,65
